Features,Num_Features,AIC,BIC,R_squared
"('date',)",1,326993.4741463973,327010.6437767099,5.113734092121458e-05
"('village',)",1,326671.9521302236,326689.1217605362,0.008151355148877992
"('stationName',)",1,317499.34811923065,317516.51774954324,0.21355017045711056
"('id',)",1,326892.96791195124,326910.13754226384,0.00259030859015974
"('subdistric',)",1,326985.78705639666,327002.95668670925,0.000245570671704165
"('district',)",1,326987.818288358,327004.9879186706,0.00019419740265813612
"('stationCode',)",1,305022.85464183707,305040.02427214966,0.4264139042643762
"('latitude',)",1,325794.48669454246,325811.65632485505,0.029925314505045764
"('longitude',)",1,326995.0400638305,327012.2096941431,1.152518886493592e-05
"('wellDepth',)",1,326807.4427145943,326824.6123449069,0.004745923256980311
"('date', 'village')",2,326671.9140055463,326697.6684510152,0.008202492489799651
"('date', 'stationName')",2,317498.7776757844,317524.5321212533,0.21360130779803221
"('date', 'id')",2,326892.9411511065,326918.6955965754,0.002641445931082176
"('date', 'subdistric')",2,326985.76504906383,327011.5194945327,0.0002967080126253796
"('date', 'district')",2,326987.79638492514,327013.55083039403,0.0002453347435793507
"('date', 'stationCode')",2,305021.3302377113,305047.0846831802,0.42646504160529763
"('date', 'latitude')",2,325794.4028216209,325820.1572670898,0.029976451845966978
"('date', 'longitude')",2,326995.0185297569,327020.7729752258,6.266252978637255e-05
"('date', 'wellDepth')",2,326807.411563888,326833.1660093569,0.004797060597901637
"('village', 'stationName')",2,316607.87928597786,316633.63373144675,0.23112636430227762
"('village', 'id')",2,326605.192619091,326630.9470645599,0.009875102903260546
"('village', 'subdistric')",2,326662.13071402453,326687.8851594934,0.008447922379528072
"('village', 'district')",2,326573.15380608995,326598.90825155884,0.010677267701791782
"('village', 'stationCode')",2,304928.5199461184,304954.2743915873,0.42781003294819486
"('village', 'latitude')",2,325558.266586481,325584.0210319499,0.035753707597027895
"('village', 'longitude')",2,326671.81803394057,326697.57247940946,0.00820490038971844
"('village', 'wellDepth')",2,326574.667689769,326600.4221352379,0.010639378801785004
"('stationName', 'id')",2,317418.4760389937,317444.2304844626,0.21519718446652647
"('stationName', 'subdistric')",2,317314.0676067433,317339.8220522122,0.21726730627114577
"('stationName', 'district')",2,315428.77596797334,315454.53041344223,0.25372171232044194
